event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus,week
E:PP6RHAZ1F6,"12, 13",General Teaching,30,1,Thursday,9,0227_00_G.01,Central,12
E:PP6RHAZ1F6,"12, 13",General Teaching,30,1,Thursday,9,0227_00_G.01,Central,13
E:7DZ9S82N11,"27, 28",General Teaching,14,1,Friday,12,0113_00_G.205,Central,27
E:7DZ9S82N11,"27, 28",General Teaching,14,1,Friday,12,0335_00_G.17,Central,28
E:1D226HFXRT,"10, 11",General Teaching,100,2,Friday,11,0555_00_G.1,Holyrood,10
E:1D226HFXRT,"10, 11",General Teaching,100,2,Friday,11,0555_00_G.1,Holyrood,11
E:PXORT1C7TH,"26, 27",General Teaching,90,2,Tuesday,9,0228_-1_LG.09,Central,26
E:PXORT1C7TH,"26, 27",General Teaching,90,2,Tuesday,9,2701_00_GU318,Bioquarter,27
E:HRAACTQ8VI,"15, 17",Computer Laboratory,25,1,Monday,9,0555_00_G.06,Holyrood,17
E:HRAACTQ8VI,"15, 17",Computer Laboratory,25,1,Monday,9,0555_00_G.06,Holyrood,15
E:IXCH8D99CR,"11, 12",General Teaching,18,1,Monday,13,0227_02_2.03,Central,11
E:IXCH8D99CR,"11, 12",General Teaching,18,1,Monday,13,0214_00_G.22,Central,12
E:ZSSL9KD3KY,"26, 27",General Teaching,40,2,Tuesday,9,0112_-1_B.02,Central,26
E:ZSSL9KD3KY,"26, 27",General Teaching,40,2,Tuesday,9,0112_-1_B.02,Central,27
E:2SBN1VY6IS,"12, 17",Computer Laboratory,20,2,Tuesday,11,2701_00_GU302,Bioquarter,17
E:2SBN1VY6IS,"12, 17",Computer Laboratory,20,2,Tuesday,11,2701_00_GU302,Bioquarter,12
E:PIT23E93WU,"28, 29",General Teaching,22,1,Wednesday,9,2701_01_FU222,Bioquarter,28
E:PIT23E93WU,"28, 29",General Teaching,22,1,Wednesday,9,2701_01_FU222,Bioquarter,29
E:ETWCITTANS,"26, 27",General Teaching,90,1,Tuesday,10,0646_00_G.05(U),Kings Buildings,26
E:ETWCITTANS,"26, 27",General Teaching,90,1,Tuesday,10,0646_00_G.05(U),Kings Buildings,27
E:KI2OSYRZUC,"11, 12",General Teaching,18,1,Monday,17,0401_02_2.17,New College,11
E:KI2OSYRZUC,"11, 12",General Teaching,18,1,Monday,17,0227_03_3.03,Central,12
E:ER94SJFIQK,"26, 27",General Teaching,80,1,Tuesday,10,0640_01_1.0107,Kings Buildings,26
E:ER94SJFIQK,"26, 27",General Teaching,80,1,Tuesday,10,2716_00_G.18,Bioquarter,27
E:WFA9Z8BEL6,"32, 33",General Teaching,45,2,Monday,10,0113_00_G.16,Central,32
E:WFA9Z8BEL6,"32, 33",General Teaching,45,2,Monday,10,0008_02_2.403,Central,33
E:G5JFJK1ONZ,"9, 10",General Teaching,25,2,Friday,12,0283_01_1.17,Central,9
E:G5JFJK1ONZ,"9, 10",General Teaching,25,2,Friday,12,0001_01_1.267,Central,10
E:64PXKYR1LE,"10, 12",General Teaching,15,1,Friday,15,0228_11_11.11,Central,10
E:64PXKYR1LE,"10, 12",General Teaching,15,1,Friday,15,0228_11_11.11,Central,12
E:V5S71MO2UM,"27, 28",Computer Laboratory,25,1,Wednesday,15,0646_01_1.3A(U),Kings Buildings,27
E:V5S71MO2UM,"27, 28",Computer Laboratory,25,1,Wednesday,15,0555_00_G.06,Holyrood,28
E:DK45W41IBF,"28, 29",General Teaching,36,1,Thursday,17,0228_11_11.10,Central,28
E:DK45W41IBF,"28, 29",General Teaching,36,1,Thursday,17,0227_00_G.02,Central,29
E:N5KKGYCEND,"28, 29",General Teaching,14,1,Wednesday,13,0311_04_4.08,Central,28
E:N5KKGYCEND,"28, 29",General Teaching,14,1,Wednesday,13,0228_01_1.01,Central,29
E:11OAYP4QJA,"27, 28",General Teaching,68,2,Friday,14,0226_-1_LG.14,Central,27
E:11OAYP4QJA,"27, 28",General Teaching,68,2,Friday,14,0226_-1_LG.14,Central,28
E:G8SCMJYVUP,"26, 27",General Teaching,45,2,Friday,13,2701_00_GU322,Bioquarter,26
E:G8SCMJYVUP,"26, 27",General Teaching,45,2,Friday,13,0654_00_G.31,Kings Buildings,27
E:V4GBNL1SEE,"28, 29",General Teaching,120,2,Friday,14,0335_00_G.01,Central,28
E:V4GBNL1SEE,"28, 29",General Teaching,120,2,Friday,14,0551_-1_LG34,Holyrood,29
E:VLM24PBAXP,"27, 28",General Teaching,20,2,Friday,11,0654_00_G.30,Kings Buildings,27
E:VLM24PBAXP,"27, 28",General Teaching,20,2,Friday,11,0728_01_1.25,Easter Bush,28
