event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:UT6G7X3OP4,"30, 35",No room required,110,1,Monday,9,,
E:PBN4HWXNCM,"11, 12",General Teaching,16,1,Wednesday,9,,
E:LLUGMC74NW,"27, 28",Computer Laboratory,44,1,Thursday,17,,
E:213A2XHFEF,"11, 12",General Teaching,15,1,Tuesday,16,,
E:RX3NIHR3CK,"30, 36",General Teaching,40,1,Monday,17,,
E:PUKV4YAZX1,"27, 28",Computer Laboratory,44,1,Monday,11,,
E:9XRFIEIQBN,"9, 10",General Teaching,60,1,Wednesday,14,,
E:R6JACKRMI5,"26, 27",General Teaching,85,2,Tuesday,9,,
E:YY8JHPSFFH,"28, 29",General Teaching,18,1,Friday,13,,
E:FNUTTSUPRL,"11, 12",General Teaching,16,1,Wednesday,9,,
E:PP6RHAZ1F6,"12, 13",General Teaching,30,1,Thursday,9,,
E:7DZ9S82N11,"27, 28",General Teaching,14,1,Friday,12,,
E:1D226HFXRT,"10, 11",General Teaching,100,2,Friday,11,,
E:PXORT1C7TH,"26, 27",General Teaching,90,2,Tuesday,9,,
E:HRAACTQ8VI,"15, 17",Computer Laboratory,25,1,Monday,9,,
E:IXCH8D99CR,"11, 12",General Teaching,18,1,Monday,13,,
E:ZSSL9KD3KY,"26, 27",General Teaching,40,2,Tuesday,9,,
E:2SBN1VY6IS,"12, 17",Computer Laboratory,20,2,Tuesday,11,,
E:PIT23E93WU,"28, 29",General Teaching,22,1,Wednesday,9,,
E:ETWCITTANS,"26, 27",General Teaching,90,1,Tuesday,10,,
E:KI2OSYRZUC,"11, 12",General Teaching,18,1,Monday,17,,
E:ER94SJFIQK,"26, 27",General Teaching,80,1,Tuesday,10,,
E:WFA9Z8BEL6,"32, 33",General Teaching,45,2,Monday,10,,
E:G5JFJK1ONZ,"9, 10",General Teaching,25,2,Friday,12,,
E:64PXKYR1LE,"10, 12",General Teaching,15,1,Friday,15,,
E:V5S71MO2UM,"27, 28",Computer Laboratory,25,1,Wednesday,15,,
E:DK45W41IBF,"28, 29",General Teaching,36,1,Thursday,17,,
E:N5KKGYCEND,"28, 29",General Teaching,14,1,Wednesday,13,,
E:11OAYP4QJA,"27, 28",General Teaching,68,2,Friday,14,,
E:G8SCMJYVUP,"26, 27",General Teaching,45,2,Friday,13,,
E:V4GBNL1SEE,"28, 29",General Teaching,120,2,Friday,14,,
E:VLM24PBAXP,"27, 28",General Teaching,20,2,Friday,11,,
E:XBW5KCSQVX,"9, 10",General Teaching,126,2,Monday,12,,
E:X2O9T9WPS9,"11, 12",General Teaching,16,1,Monday,17,,
E:WYM6UXZOWJ,"28, 29",General Teaching,44,1,Wednesday,15,,
E:BBMZKNGBBE,"28, 29",General Teaching,12,1,Friday,9,,
E:ZDU3WYEVJP,"10, 11",General Teaching,72,1,Wednesday,14,,
E:YDKY2LP84Z,"11, 12",General Teaching,15,1,Monday,17,,
E:Y8KHX7NR4A,"12, 17",Computer Laboratory,20,2,Thursday,9,,
E:VR5VKON81U,"26, 28",General Teaching,160,2,Tuesday,10,,
E:2NKM6SSIYV,"9, 10",General Teaching,45,3,Monday,14,,
E:J2UDKXDSM6,"26, 27",General Teaching,458,1,Monday,9,,
E:O8HU1JZFVQ,"11, 12",General Teaching,14,1,Thursday,14,,
E:1KKYP48S2S,"11, 12",General Teaching,18,1,Wednesday,12,,
E:TO2WS6X492,"9, 10",General Teaching,400,2,Monday,12,,
E:M6URK9ZUVK,"15, 16",General Teaching,65,2,Wednesday,12,,
E:2CJPLCVUDJ,"28, 29",General Teaching,12,1,Friday,13,,
E:IJ7PCKV594,"11, 12",General Teaching,18,2,Wednesday,16,,
E:JH8VVS5D8B,"9, 10",General Teaching,200,1,Tuesday,11,,
E:L2Q83DS4P1,"15, 16",General Teaching,100,2,Wednesday,12,,
E:R276JISFO8,"9, 10",General Teaching,65,2,Monday,12,,
E:SH4XSIVYTS,"10, 11",General Teaching,13,1,Friday,9,,
E:4HRHARLXV6,"10, 11",General Teaching,20,1,Thursday,15,,
E:6USFTUFRCY,"11, 12",General Teaching,23,2,Monday,14,,
E:UPWHSSCSNC,"9, 10",General Teaching,72,1,Monday,15,,
E:1DGWEVHDOT,"10, 16",Computer Laboratory,44,1,Friday,15,,
E:93CECVO3RL,"11, 12",General Teaching,60,1,Friday,16,,
E:92GGHXA8A2,"28, 29",General Teaching,25,1,Monday,10,,
E:PV2BMWX7S5,"26, 27",General Teaching,100,2,Tuesday,12,,
E:12DKCORHBQ,"11, 12",General Teaching,10,1,Thursday,14,,
E:59YZAKTMG8,"15, 16",General Teaching,135,2,Wednesday,12,,
E:HYQOVZYYZD,"26, 27",No room required,220,1,Monday,9,,
E:SQ7A12HO8G,"9, 10",General Teaching,65,1,Friday,10,,
E:JW5A33BBXB,"28, 29",General Teaching,18,1,Monday,14,,
E:UP7EXA3PB7,"10, 11",General Teaching,17,1,Friday,12,,
E:KTOQ1D5X4F,"15, 16",General Teaching,35,2,Wednesday,12,,
E:7AT4Y21RSO,"28, 29",Computer Laboratory,13,1,Friday,16,,
E:Y3JW9ZYM5X,"28, 29",General Teaching,18,1,Wednesday,16,,
E:GDEKHKTKFH,"9, 10",General Teaching,200,1,Thursday,11,,
E:16CPPSZFQO,"11, 12",General Teaching,15,1,Thursday,13,,
E:XKEABHDR5Z,"26, 27",General Teaching,20,2,Friday,13,,
E:C9HB79BN5T,"30, 36",General Teaching,26,2,Tuesday,9,,
E:LMKN6Q1959,"27, 29",General Teaching,50,1,Wednesday,14,,
E:F38CP565E1,"11, 12",General Teaching,12,1,Thursday,13,,
E:LJED7A2J8L,"10, 11",General Teaching,170,1,Wednesday,10,,
E:ED811EUFV1,"13, 16",General Teaching,40,2,Wednesday,10,,
E:BBA7J3OPTB,"10, 11",General Teaching,17,1,Wednesday,14,,
E:NZ2N6YWFZC,"11, 12",General Teaching,18,1,Monday,17,,
E:SRWGRBT873,"34, 35",General Teaching,100,2,Friday,13,,
E:DWYYAPR6QU,"11, 12",General Teaching,16,1,Wednesday,12,,
E:3UNBYEYBRU,"11, 13",General Teaching,12,2,Wednesday,10,,
E:PC6997ADHL,"9, 10",General Teaching,65,2,Monday,12,,
E:MWU6VPBYA8,"28, 34",Computer Laboratory,40,1,Monday,12,,
E:5KRB82KM7L,"27, 28",General Teaching,14,1,Tuesday,12,,
E:DRNOQ27SSU,"26, 27",General Teaching,55,2,Friday,13,,
E:XP71I543L9,"10, 11",General Teaching,12,1,Wednesday,16,,
